ano,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,Total
2012,9,16,7,3,13,23,5,3,2,2,18,16,117
2013,45,22,53,50,12,29,65,45,23,39,52,56,491
2014,93,61,65,53,94,52,61,79,71,53,87,86,855
2015,72,56,61,73,72,74,74,100,82,55,65,62,846
2016,58,64,60,137,41,91,48,59,79,93,159,202,1091
2017,178,157,227,176,208,238,268,627,384,243,240,350,3296
2018,272,254,367,367,302,382,262,262,286,405,374,437,3970
2019,370,287,336,290,357,716,960,867,1264,1989,2013,2409,11858
2020,1568,2053,1570,442,601,1334,1668,1943,2113,2273,2231,1949,19745
2021,1321,1389,1872,2708,3102,3507,3625,3873,2756,2787,3505,4545,34990
2022,2558,3435,3851,3123,3387,4073,3136,4249,6391,4460,4995,5587,49245
2023,4503,4294,5989,4793,6435,6225,7462,9351,8458,9537,10601,16279,93927
2024,12026,10451,13613,15206,13612,14396,15312,14667,13265,16033,17143,21634,177358
2025,12556,12988,14380,14759,16641,15525,19016,20222,,,,,126087
